"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 11:30:26 GMT 2022","Thu Oct 27 11:30:33 GMT 2022","7059","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Thu Oct 27 11:29:56 GMT 2022","Thu Oct 27 11:30:08 GMT 2022","12038","","Sign up page testing","","Sign up page testing","ID - 10 Sign up with an email that does not contain @","ID - 10 Sign up with an email that does not contain @",""
"passed","Thu Oct 27 11:21:16 GMT 2022","Thu Oct 27 11:21:24 GMT 2022","8085","","Header testing","","Header testing","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those",""
"passed","Thu Oct 27 11:29:08 GMT 2022","Thu Oct 27 11:29:27 GMT 2022","19221","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Thu Oct 27 11:30:08 GMT 2022","Thu Oct 27 11:30:17 GMT 2022","8382","","Sign up page testing","","Sign up page testing","ID - 11 Sign up with a password that does not contain symbol","ID - 11 Sign up with a password that does not contain symbol",""
"passed","Thu Oct 27 11:27:26 GMT 2022","Thu Oct 27 11:27:36 GMT 2022","9466","","Support center page testing","","Support center page testing","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page",""
"passed","Thu Oct 27 11:26:59 GMT 2022","Thu Oct 27 11:27:09 GMT 2022","10239","","Solution page testing","","Solution page testing","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page",""
"passed","Thu Oct 27 11:28:07 GMT 2022","Thu Oct 27 11:28:12 GMT 2022","5381","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Thu Oct 27 11:29:27 GMT 2022","Thu Oct 27 11:29:38 GMT 2022","10953","","Sign in testing","","Sign in testing","ID - 16 Sign in with invalid email and invalid password","ID - 16 Sign in with invalid email and invalid password",""
"passed","Thu Oct 27 11:30:17 GMT 2022","Thu Oct 27 11:30:26 GMT 2022","9030","","Sign up page testing","","Sign up page testing","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy",""
"passed","Thu Oct 27 11:24:03 GMT 2022","Thu Oct 27 11:24:11 GMT 2022","8494","","Solution page testing","","Solution page testing","ID - 6 Open the Contact Center Solutions from Solutions page","ID - 6 Open the Contact Center Solutions from Solutions page",""
"passed","Thu Oct 27 11:24:45 GMT 2022","Thu Oct 27 11:24:52 GMT 2022","7007","","Header testing","","Header testing","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those",""
"passed","Thu Oct 27 11:22:20 GMT 2022","Thu Oct 27 11:22:34 GMT 2022","14523","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Thu Oct 27 11:24:59 GMT 2022","Thu Oct 27 11:25:07 GMT 2022","7305","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Thu Oct 27 11:22:09 GMT 2022","Thu Oct 27 11:22:17 GMT 2022","7884","","Network page testing","","Network page testing","ID - 9 Open SMS API from Network Page","ID - 9 Open SMS API from Network Page",""
"passed","Thu Oct 27 11:27:09 GMT 2022","Thu Oct 27 11:27:17 GMT 2022","7338","","Solution page testing","","Solution page testing","ID - 5 Open Explore Healthcare Solutions from Solutions page","ID - 5 Open Explore Healthcare Solutions from Solutions page",""
"passed","Thu Oct 27 11:31:43 GMT 2022","Thu Oct 27 11:31:50 GMT 2022","7395","","Support center page testing","","Support center page testing","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search",""
"passed","Thu Oct 27 11:27:43 GMT 2022","Thu Oct 27 11:27:48 GMT 2022","5070","","Support center page testing","","Support center page testing","ID - 20 Find non-existent article on the support page using search","ID - 20 Find non-existent article on the support page using search",""
"passed","Thu Oct 27 11:30:39 GMT 2022","Thu Oct 27 11:30:51 GMT 2022","12777","","Solution page testing","","Solution page testing","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page",""
"passed","Thu Oct 27 11:23:29 GMT 2022","Thu Oct 27 11:23:37 GMT 2022","8252","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Thu Oct 27 11:31:50 GMT 2022","Thu Oct 27 11:31:56 GMT 2022","6013","","Support center page testing","","Support center page testing","ID - 20 Find non-existent article on the support page using search","ID - 20 Find non-existent article on the support page using search",""
"passed","Thu Oct 27 11:26:50 GMT 2022","Thu Oct 27 11:26:57 GMT 2022","6672","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Thu Oct 27 11:24:31 GMT 2022","Thu Oct 27 11:24:37 GMT 2022","5964","","Support center page testing","","Support center page testing","ID - 20 Find non-existent article on the support page using search","ID - 20 Find non-existent article on the support page using search",""
"passed","Thu Oct 27 11:26:41 GMT 2022","Thu Oct 27 11:26:50 GMT 2022","9063","","Sign up page testing","","Sign up page testing","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy",""
"passed","Thu Oct 27 11:27:58 GMT 2022","Thu Oct 27 11:28:07 GMT 2022","8505","","Header testing","","Header testing","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those",""
"passed","Thu Oct 27 11:23:39 GMT 2022","Thu Oct 27 11:23:54 GMT 2022","14677","","Solution page testing","","Solution page testing","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page",""
"passed","Thu Oct 27 11:27:17 GMT 2022","Thu Oct 27 11:27:24 GMT 2022","7723","","Solution page testing","","Solution page testing","ID - 6 Open the Contact Center Solutions from Solutions page","ID - 6 Open the Contact Center Solutions from Solutions page",""
"passed","Thu Oct 27 11:28:30 GMT 2022","Thu Oct 27 11:28:39 GMT 2022","9018","","Network page testing","","Network page testing","ID - 7 Open the virtual cross connects page from Network link in Header menu","ID - 7 Open the virtual cross connects page from Network link in Header menu",""
"passed","Thu Oct 27 11:30:51 GMT 2022","Thu Oct 27 11:31:02 GMT 2022","10489","","Solution page testing","","Solution page testing","ID - 5 Open Explore Healthcare Solutions from Solutions page","ID - 5 Open Explore Healthcare Solutions from Solutions page",""
"passed","Thu Oct 27 11:23:54 GMT 2022","Thu Oct 27 11:24:03 GMT 2022","8795","","Solution page testing","","Solution page testing","ID - 5 Open Explore Healthcare Solutions from Solutions page","ID - 5 Open Explore Healthcare Solutions from Solutions page",""
"passed","Thu Oct 27 11:25:35 GMT 2022","Thu Oct 27 11:25:42 GMT 2022","7776","","Network page testing","","Network page testing","ID - 9 Open SMS API from Network Page","ID - 9 Open SMS API from Network Page",""
"passed","Thu Oct 27 11:31:02 GMT 2022","Thu Oct 27 11:31:29 GMT 2022","26895","","Solution page testing","","Solution page testing","ID - 6 Open the Contact Center Solutions from Solutions page","ID - 6 Open the Contact Center Solutions from Solutions page",""
"skipped","Thu Oct 27 11:30:33 GMT 2022","Thu Oct 27 11:30:33 GMT 2022","0","","Sign up page testing","","Sign up page testing","ID - 14 Sign up with valid credentials","ID - 14 Sign up with valid credentials",""
"passed","Thu Oct 27 11:28:18 GMT 2022","Thu Oct 27 11:28:25 GMT 2022","7296","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Thu Oct 27 11:28:39 GMT 2022","Thu Oct 27 11:28:53 GMT 2022","13626","","Network page testing","","Network page testing","ID - 8 See price for Elastic SIP Trunking from Network Page","ID - 8 See price for Elastic SIP Trunking from Network Page",""
"passed","Thu Oct 27 11:22:34 GMT 2022","Thu Oct 27 11:22:45 GMT 2022","10936","","Sign in testing","","Sign in testing","ID - 16 Sign in with invalid email and invalid password","ID - 16 Sign in with invalid email and invalid password",""
"passed","Thu Oct 27 11:27:36 GMT 2022","Thu Oct 27 11:27:43 GMT 2022","6668","","Support center page testing","","Support center page testing","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search",""
"passed","Thu Oct 27 11:25:44 GMT 2022","Thu Oct 27 11:25:58 GMT 2022","13754","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Thu Oct 27 11:28:53 GMT 2022","Thu Oct 27 11:29:02 GMT 2022","8857","","Network page testing","","Network page testing","ID - 9 Open SMS API from Network Page","ID - 9 Open SMS API from Network Page",""
"passed","Thu Oct 27 11:31:34 GMT 2022","Thu Oct 27 11:31:43 GMT 2022","8958","","Support center page testing","","Support center page testing","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page",""
"passed","Thu Oct 27 11:26:12 GMT 2022","Thu Oct 27 11:26:21 GMT 2022","8856","","Sign in testing","","Sign in testing","ID - 17 Sign in with valid email that doesn't contain @","ID - 17 Sign in with valid email that doesn't contain @",""
"passed","Thu Oct 27 11:23:19 GMT 2022","Thu Oct 27 11:23:29 GMT 2022","9994","","Sign up page testing","","Sign up page testing","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy",""
"passed","Thu Oct 27 11:21:32 GMT 2022","Thu Oct 27 11:21:41 GMT 2022","8232","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Thu Oct 27 11:22:45 GMT 2022","Thu Oct 27 11:22:55 GMT 2022","9662","","Sign in testing","","Sign in testing","ID - 17 Sign in with valid email that doesn't contain @","ID - 17 Sign in with valid email that doesn't contain @",""
"passed","Thu Oct 27 11:22:57 GMT 2022","Thu Oct 27 11:23:09 GMT 2022","12068","","Sign up page testing","","Sign up page testing","ID - 10 Sign up with an email that does not contain @","ID - 10 Sign up with an email that does not contain @",""
"passed","Thu Oct 27 11:21:43 GMT 2022","Thu Oct 27 11:21:54 GMT 2022","10983","","Network page testing","","Network page testing","ID - 7 Open the virtual cross connects page from Network link in Header menu","ID - 7 Open the virtual cross connects page from Network link in Header menu",""
"passed","Thu Oct 27 11:26:23 GMT 2022","Thu Oct 27 11:26:34 GMT 2022","10837","","Sign up page testing","","Sign up page testing","ID - 10 Sign up with an email that does not contain @","ID - 10 Sign up with an email that does not contain @",""
"passed","Thu Oct 27 11:25:58 GMT 2022","Thu Oct 27 11:26:12 GMT 2022","13567","","Sign in testing","","Sign in testing","ID - 16 Sign in with invalid email and invalid password","ID - 16 Sign in with invalid email and invalid password",""
"passed","Thu Oct 27 11:25:19 GMT 2022","Thu Oct 27 11:25:35 GMT 2022","15824","","Network page testing","","Network page testing","ID - 8 See price for Elastic SIP Trunking from Network Page","ID - 8 See price for Elastic SIP Trunking from Network Page",""
"passed","Thu Oct 27 11:24:13 GMT 2022","Thu Oct 27 11:24:22 GMT 2022","8922","","Support center page testing","","Support center page testing","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page",""
"passed","Thu Oct 27 11:24:52 GMT 2022","Thu Oct 27 11:24:57 GMT 2022","4687","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Thu Oct 27 11:25:09 GMT 2022","Thu Oct 27 11:25:19 GMT 2022","9849","","Network page testing","","Network page testing","ID - 7 Open the virtual cross connects page from Network link in Header menu","ID - 7 Open the virtual cross connects page from Network link in Header menu",""
"passed","Thu Oct 27 11:21:54 GMT 2022","Thu Oct 27 11:22:09 GMT 2022","15565","","Network page testing","","Network page testing","ID - 8 See price for Elastic SIP Trunking from Network Page","ID - 8 See price for Elastic SIP Trunking from Network Page",""
"passed","Thu Oct 27 11:26:34 GMT 2022","Thu Oct 27 11:26:41 GMT 2022","7530","","Sign up page testing","","Sign up page testing","ID - 11 Sign up with a password that does not contain symbol","ID - 11 Sign up with a password that does not contain symbol",""
"passed","Thu Oct 27 11:21:24 GMT 2022","Thu Oct 27 11:21:30 GMT 2022","5604","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Thu Oct 27 11:23:09 GMT 2022","Thu Oct 27 11:23:19 GMT 2022","9549","","Sign up page testing","","Sign up page testing","ID - 11 Sign up with a password that does not contain symbol","ID - 11 Sign up with a password that does not contain symbol",""
"passed","Thu Oct 27 11:29:38 GMT 2022","Thu Oct 27 11:29:51 GMT 2022","13253","","Sign in testing","","Sign in testing","ID - 17 Sign in with valid email that doesn't contain @","ID - 17 Sign in with valid email that doesn't contain @",""
"passed","Thu Oct 27 11:24:22 GMT 2022","Thu Oct 27 11:24:31 GMT 2022","8702","","Support center page testing","","Support center page testing","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search",""
